GeoFIPS,GeoName,Region,TableName,ComponentName,Unit,Line,IndustryClassification,Description,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
 "01000" ,"Alabama",5,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",10,"...","   Clothing and footwear",813,833,852,855,849,869,848,881,919,928,926,909,877,903,928,927,930,935,962,978,984
 "01000" ,"Alabama",5,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",11,"...","   Gasoline and other energy goods",558,482,529,685,638,595,699,822,997,1141,1205,1351,981,1164,1423,1441,1425,1334,1008,882,969
 "01000" ,"Alabama",5,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",12,"...","   Other nondurable goods",1480,1557,1701,1790,1905,2051,2215,2399,2529,2711,2825,2870,2952,2997,3006,3085,3153,3325,3492,3497,3570
 "01000" ,"Alabama",5,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",13,"..."," Services",10084,10586,11051,11667,12113,12712,13225,13855,14781,15324,15838,16422,16515,16913,17275,17679,17995,18579,19277,19927,20543
 "01000" ,"Alabama",5,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",14,"...","  Household consumption expenditures (for services)",9900,10356,10770,11357,11795,12385,12927,13533,14460,15011,15472,15964,16067,16473,16815,17192,17494,18036,18752,19348,19954
 "01000" ,"Alabama",5,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",15,"...","  Housing and utilities",2510,2651,2758,2925,3090,3198,3319,3461,3700,3886,4038,4185,4224,4395,4485,4578,4697,4916,5056,5290,5440
 "01000" ,"Alabama",5,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",16,"...","  Health care",2856,2927,2967,3091,3286,3541,3695,3874,4240,4354,4413,4536,4694,4730,4793,4989,5080,5220,5503,5655,5881
 "01000" ,"Alabama",5,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",17,"...","  Transportation services",480,502,523,541,533,524,533,552,581,594,598,593,556,573,596,602,606,633,654,687,720
 "01000" ,"Alabama",5,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",18,"...","  Recreation services",750,739,740,744,755,784,812,858,891,916,933,959,951,971,967,983,1002,1010,1055,1087,1115
 "01000" ,"Alabama",5,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",19,"...","  Food services and accommodations",960,994,1049,1079,1099,1135,1212,1279,1370,1447,1506,1558,1562,1602,1654,1717,1767,1837,1952,2035,2069
 "01000" ,"Alabama",5,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",20,"...","  Financial services and insurance",1088,1243,1412,1595,1574,1685,1774,1877,2003,2084,2239,2350,2293,2388,2458,2464,2466,2489,2591,2590,2668
 "01000" ,"Alabama",5,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",21,"...","  Other services",1255,1301,1321,1381,1459,1519,1582,1632,1676,1730,1744,1783,1787,1814,1862,1859,1877,1932,1941,2002,2060
 "01000" ,"Alabama",5,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",22,"..."," Final consumption expenditures of nonprofit institutions serving households (NPISHs)",183,230,281,309,318,327,298,322,321,313,366,458,448,440,461,487,501,543,524,579,589
 "01000" ,"Alabama",5,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",23,"..."," Gross output of nonprofit institutions",1447,1545,1660,1754,1832,1941,1968,2128,2264,2338,2534,2655,2719,2780,2850,2927,3011,3080,3164,3269,3393
 "01000" ,"Alabama",5,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",24,"..."," Less: Receipts from sales of goods and services by nonprofit institutions",1264,1314,1379,1444,1514,1614,1670,1806,1944,2025,2167,2197,2271,2340,2389,2440,2510,2537,2640,2690,2804
 "02000" ,"Alaska",8,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",1,"...","Per capita personal consumption expenditures",22512,23350,24671,26400,27812,29470,31014,32481,34205,35609,37054,38532,38355,38992,40669,41719,42218,43867,45400,46299,48036
 "02000" ,"Alaska",8,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",2,"..."," Goods",8354,8508,8993,9282,9515,10047,10540,11147,11599,11936,12361,12641,12014,12189,12662,12840,12834,13124,12984,12831,13002
 "02000" ,"Alaska",8,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",3,"...","  Durable goods",2749,2883,3051,3082,3222,3566,3716,3982,4088,4074,4148,4001,3799,3771,3809,3954,4008,4082,4160,4136,4220
 "02000" ,"Alaska",8,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",4,"...","   Motor vehicles and parts",936,1012,1136,1183,1252,1401,1418,1424,1341,1234,1220,1049,1009,1009,1012,1094,1116,1126,1163,1116,1108
 "02000" ,"Alaska",8,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",5,"...","   Furnishings and durable household equipment",590,607,626,637,676,768,803,851,926,941,946,968,924,916,925,945,949,987,995,981,992
 "02000" ,"Alaska",8,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",6,"...","   Recreational goods and vehicles",855,884,880,850,892,983,1056,1236,1327,1376,1433,1441,1360,1340,1344,1379,1407,1422,1439,1468,1534
 "02000" ,"Alaska",8,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",7,"...","   Other durable goods",369,379,409,413,402,414,439,471,494,524,549,544,507,506,527,536,536,547,563,571,586
 "02000" ,"Alaska",8,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",8,"...","  Nondurable goods",5604,5625,5942,6199,6293,6481,6824,7165,7512,7862,8213,8640,8215,8417,8853,8886,8825,9041,8823,8695,8782
 "02000" ,"Alaska",8,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",9,"...","   Food and beverages purchased for off-premises consumption",2387,2461,2550,2589,2690,2793,2948,3074,3230,3371,3555,3748,3722,3746,3870,3895,3895,3989,3987,3975,3986
 "02000" ,"Alaska",8,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",10,"...","   Clothing and footwear",838,834,845,855,853,855,876,896,907,920,917,918,870,877,908,916,913,941,962,974,976
 "02000" ,"Alaska",8,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",11,"...","   Gasoline and other energy goods",761,651,715,900,809,759,821,949,1048,1111,1190,1371,1025,1189,1431,1458,1468,1441,1079,920,989
 "02000" ,"Alaska",8,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",12,"...","   Other nondurable goods",1619,1678,1832,1855,1942,2074,2179,2246,2326,2459,2551,2602,2599,2606,2645,2616,2550,2671,2795,2827,2832
 "02000" ,"Alaska",8,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",13,"..."," Services",14159,14842,15678,17118,18296,19423,20474,21334,22605,23673,24693,25891,26341,26804,28007,28879,29385,30744,32416,33468,35034
 "02000" ,"Alaska",8,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",14,"...","  Household consumption expenditures (for services)",13456,14006,14792,16081,17178,18160,19212,20140,21242,22168,23111,24129,24454,24837,25859,26588,27033,28394,30059,31024,32499
 "02000" ,"Alaska",8,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",15,"...","  Housing and utilities",3832,4015,4229,4443,4726,4875,5042,5257,5598,5952,6249,6535,6657,6542,6752,6900,6996,7382,7853,8120,8479
 "02000" ,"Alaska",8,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",16,"...","  Health care",2804,2938,3190,3720,4275,4794,5203,5561,5936,6212,6520,6927,7243,7495,7859,8235,8413,8928,9628,10077,10859
 "02000" ,"Alaska",8,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",17,"...","  Transportation services",738,780,833,933,975,933,952,970,1000,1015,1046,1092,1017,1026,1087,1094,1186,1228,1255,1275,1322
 "02000" ,"Alaska",8,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",18,"...","  Recreation services",636,638,683,745,761,783,868,978,1070,1145,1270,1332,1333,1366,1380,1448,1502,1609,1673,1660,1697
 "02000" ,"Alaska",8,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",19,"...","  Food services and accommodations",1777,1798,1881,2010,2046,2170,2338,2469,2572,2705,2809,2893,2812,2885,3048,3144,3203,3428,3633,3625,3572
 "02000" ,"Alaska",8,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",20,"...","  Financial services and insurance",1669,1713,1793,1920,1875,1903,1949,1986,2071,2042,2071,2129,2088,2188,2301,2304,2294,2311,2431,2491,2726
 "02000" ,"Alaska",8,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",21,"...","  Other services",1999,2124,2183,2310,2519,2702,2861,2920,2996,3096,3146,3222,3304,3335,3432,3462,3439,3508,3587,3776,3845
 "02000" ,"Alaska",8,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",22,"..."," Final consumption expenditures of nonprofit institutions serving households (NPISHs)",703,836,887,1037,1119,1263,1262,1194,1363,1505,1582,1762,1887,1966,2148,2292,2351,2349,2357,2444,2535
 "02000" ,"Alaska",8,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",23,"..."," Gross output of nonprofit institutions",2277,2502,2587,2843,2982,3252,3259,3249,3633,3905,4107,4331,4557,4702,4962,5162,5289,5324,5481,5717,5966
 "02000" ,"Alaska",8,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",24,"..."," Less: Receipts from sales of goods and services by nonprofit institutions",1574,1666,1700,1806,1864,1990,1997,2055,2270,2400,2525,2569,2670,2736,2814,2871,2938,2975,3124,3273,3431
 "04000" ,"Arizona",6,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",1,"...","Per capita personal consumption expenditures",19416,20274,21392,22579,23118,23728,24672,26095,27652,29051,29996,29693,28596,29125,29988,30467,30910,31863,32594,33256,34548
 "04000" ,"Arizona",6,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",2,"..."," Goods",7275,7495,7994,8501,8601,8707,9117,9844,10650,11321,11547,10989,9936,10152,10657,10812,10889,11205,11127,11160,11574
 "04000" ,"Arizona",6,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",3,"...","  Durable goods",2713,2918,3108,3357,3406,3515,3619,3905,4170,4367,4293,3649,3146,3198,3358,3461,3558,3672,3794,3845,4002
 "04000" ,"Arizona",6,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",4,"...","   Motor vehicles and parts",1121,1201,1287,1335,1400,1418,1432,1493,1554,1541,1527,1153,962,1021,1101,1214,1285,1344,1436,1450,1498
 "04000" ,"Arizona",6,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",5,"...","   Furnishings and durable household equipment",645,694,723,790,797,828,854,952,1058,1117,1037,885,743,733,775,770,769,801,816,852,900
 "04000" ,"Arizona",6,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",6,"...","   Recreational goods and vehicles",618,679,734,836,818,853,885,973,1035,1127,1107,1018,872,858,872,867,892,909,926,920,950
 "04000" ,"Arizona",6,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",7,"...","   Other durable goods",329,343,364,395,391,416,447,488,522,582,623,592,570,585,610,610,612,618,615,623,653
 "04000" ,"Arizona",6,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",8,"...","  Nondurable goods",4561,4577,4885,5145,5195,5192,5499,5939,6480,6954,7254,7340,6790,6955,7299,7351,7331,7534,7333,7315,7572
 "04000" ,"Arizona",6,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",9,"...","   Food and beverages purchased for off-premises consumption",1716,1732,1823,1826,1884,1908,2001,2171,2326,2454,2562,2613,2540,2547,2564,2573,2566,2673,2700,2737,2789
 "04000" ,"Arizona",6,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",10,"...","   Clothing and footwear",765,767,798,835,835,851,881,925,980,1024,1035,989,949,974,999,1015,1027,1031,1045,1044,1061
 "04000" ,"Arizona",6,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",11,"...","   Gasoline and other energy goods",621,542,589,719,670,595,681,776,964,1075,1187,1283,908,1011,1237,1279,1263,1205,925,808,908
 "04000" ,"Arizona",6,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",12,"...","   Other nondurable goods",1460,1535,1676,1764,1805,1838,1936,2066,2209,2401,2470,2456,2393,2423,2498,2484,2475,2625,2663,2726,2814
 "04000" ,"Arizona",6,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",13,"..."," Services",12141,12780,13398,14078,14518,15021,15555,16251,17002,17729,18449,18705,18660,18973,19331,19656,20021,20658,21467,22096,22975
 "04000" ,"Arizona",6,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",14,"...","  Household consumption expenditures (for services)",11944,12566,13146,13798,14216,14701,15261,15913,16740,17347,17971,18161,18157,18480,18814,19107,19449,20076,20901,21492,22366
 "04000" ,"Arizona",6,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",15,"...","  Housing and utilities",3511,3649,3753,3920,4119,4220,4306,4477,4694,4940,5149,5356,5626,5748,5834,5871,5986,6212,6492,6695,6837
 "04000" ,"Arizona",6,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",16,"...","  Health care",2393,2450,2524,2668,2863,3135,3367,3569,3886,4007,4184,4388,4568,4722,4801,4914,4962,4993,5211,5391,5681
 "04000" ,"Arizona",6,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",17,"...","  Transportation services",742,797,851,894,868,843,855,877,928,980,998,975,883,894,984,1023,1047,1100,1125,1153,1214
 "04000" ,"Arizona",6,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",18,"...","  Recreation services",714,765,836,839,859,883,927,997,1038,1136,1195,1172,1135,1131,1091,1124,1150,1196,1238,1267,1341
 "04000" ,"Arizona",6,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",19,"...","  Food services and accommodations",1423,1467,1535,1612,1605,1633,1716,1851,2019,2151,2270,2221,2113,2127,2198,2267,2339,2454,2611,2667,2795
 "04000" ,"Arizona",6,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",20,"...","  Financial services and insurance",1796,1919,2069,2251,2199,2219,2253,2264,2269,2147,2100,1971,1728,1722,1727,1703,1762,1850,1945,1951,2049
 "04000" ,"Arizona",6,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",21,"...","  Other services",1365,1519,1579,1614,1702,1769,1838,1878,1907,1986,2074,2079,2104,2136,2179,2205,2203,2271,2280,2368,2448
 "04000" ,"Arizona",6,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",22,"..."," Final consumption expenditures of nonprofit institutions serving households (NPISHs)",197,214,252,280,302,320,294,338,262,382,478,543,503,492,517,549,573,582,565,604,608
 "04000" ,"Arizona",6,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",23,"..."," Gross output of nonprofit institutions",1353,1467,1529,1588,1666,1758,1837,2001,2049,2220,2395,2501,2528,2592,2654,2730,2797,2878,2938,3066,3143
 "04000" ,"Arizona",6,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",24,"..."," Less: Receipts from sales of goods and services by nonprofit institutions",1156,1252,1277,1308,1365,1438,1543,1664,1787,1837,1917,1957,2024,2100,2136,2181,2224,2296,2372,2462,2535
 "05000" ,"Arkansas",5,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",1,"...","Per capita personal consumption expenditures",15785,16547,17556,18556,19204,19834,20721,21813,23135,24214,25241,25983,25678,26356,27438,28212,28846,29824,30649,31695,32875
 "05000" ,"Arkansas",5,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",2,"..."," Goods",6601,6764,7285,7766,7765,7869,8232,8647,9088,9435,9819,9976,9592,10033,10595,10846,11110,11390,11431,11732,12082
 "05000" ,"Arkansas",5,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",3,"...","  Durable goods",2285,2411,2585,2666,2724,2897,3014,3141,3214,3248,3361,3240,3069,3147,3213,3311,3448,3588,3722,3836,3932
 "05000" ,"Arkansas",5,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",4,"...","   Motor vehicles and parts",1053,1115,1193,1188,1244,1311,1313,1329,1284,1235,1271,1131,1069,1171,1224,1320,1390,1462,1551,1594,1586
 "05000" ,"Arkansas",5,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",5,"...","   Furnishings and durable household equipment",504,521,553,592,589,630,660,704,743,759,759,739,695,698,702,714,733,754,785,825,864
 "05000" ,"Arkansas",5,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",6,"...","   Recreational goods and vehicles",425,464,506,531,554,614,676,727,792,830,876,890,822,792,791,781,812,833,836,857,902
 "05000" ,"Arkansas",5,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",7,"...","   Other durable goods",303,311,333,354,337,342,366,381,395,424,454,480,483,486,496,496,514,539,549,559,580
 "05000" ,"Arkansas",5,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",8,"...","  Nondurable goods",4317,4353,4701,5100,5042,4972,5218,5506,5874,6187,6458,6736,6523,6885,7382,7535,7662,7801,7709,7896,8150
 "05000" ,"Arkansas",5,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",9,"...","   Food and beverages purchased for off-premises consumption",1518,1525,1617,1703,1688,1642,1694,1748,1807,1834,1916,1991,2057,2090,2186,2239,2314,2397,2503,2615,2642
 "05000" ,"Arkansas",5,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",10,"...","   Clothing and footwear",784,817,866,913,872,847,856,856,879,887,890,870,862,883,915,945,949,968,990,1017,1038
 "05000" ,"Arkansas",5,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",11,"...","   Gasoline and other energy goods",629,568,644,830,788,724,820,968,1150,1282,1348,1509,1125,1367,1675,1713,1706,1550,1169,1041,1126
 "05000" ,"Arkansas",5,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",12,"...","   Other nondurable goods",1385,1443,1573,1654,1693,1760,1848,1934,2039,2184,2304,2366,2479,2545,2607,2639,2693,2887,3046,3224,3344
 "05000" ,"Arkansas",5,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",13,"..."," Services",9183,9783,10271,10790,11439,11965,12489,13166,14047,14778,15422,16007,16086,16323,16843,17367,17736,18434,19218,19963,20794
 "05000" ,"Arkansas",5,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",14,"...","  Household consumption expenditures (for services)",9006,9530,9961,10468,11078,11571,12102,12787,13643,14312,14937,15439,15500,15734,16219,16710,17049,17732,18520,19213,20028
 "05000" ,"Arkansas",5,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",15,"...","  Housing and utilities",2547,2665,2751,2915,3109,3176,3276,3437,3694,3906,3998,4174,4210,4256,4347,4440,4567,4728,4895,4971,5122
 "05000" ,"Arkansas",5,SAEXP2,"Per capita personal consumption expenditures (PCE) by state","Dollars",16,"...","  Health care",2520,2656,2736,2879,3152,3407,3579,3767,4013,4104,4305,4494,4620,4661,4767,4922,4914,5147,5431,5796,6117
